,state,fips,cases,deaths,iso_3166_2_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,percentchangehours,percentchangebusinesses,cases.nyt,deaths.nyt,positive,negative,hospitalizedCurrently,deaths.ctp,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,ST,State.Abbreviation,State.FIPS.Code,State.of.emergency,Date.closed.K.12.schools,Closed.Bars,Religious.Gatherings.Exempt.Without.Clear.Social.Distance.Mandate.,Initially.reopen.restaurants.for.outdoor.dining.only,Reopened.hair.salons.barber.shops,Reopen.non.essential.construction,Reopen.Religious.gatherings,Reopen.non.essential.retail,Reopen.bars,Reopen.Childcare,Face.mask.mandate.enforced.by.fines,Face.mask.mandate.enforced.by.criminal.charge.citation,No.legal.enforcement.of.face.mask.mandate,Lift.Eviction.Moratorium,Prior.to.pandemic..no.state.unemployment.waiting.period..or.date.waiting.period.waived.not.found,Waive.work.search.requirement.for.unemployment.insurance,Expand.eligibility.of.unemployment.insurance.to.anyonewho.is.quarantined.and.or.taking.care.of.someone.who.is.quarantined,Expand.eligibility.to.high.risk.individuals.in.preventative.quarantine,Expand.eligibility.of.unemployment.insurance.to.those.who.have.lost.childcare.school.closures,Extend.the.amount.of.time.an.individual.can.be.on.unemployment.insurance,Weekly.unemployment.insurance.maximum.amount..dollars.,Weekly.unemployment.insurance.maximum.amount.with.extra.stimulus..through.July.21..2020...dollars.,Unemployment.insurance.maximum.duration..weeks.,Unemployment.insurance.maximum.duration.with.Pandemic.Emergency.Unemployment.Compensation.CARES.extension..weeks.,SNAP.Waiver.Emergency.Allotments.to.Current.SNAP.Households,SNAP.Waiver.Pandemic.EBT,SNAP.Waiver.Temporary.Suspension.of.Claims.Collection,X2020.Q1.SNAP.ABAWD.Time.Limit.Waiver,Modify.Medicaid.requirements.with.1135.waivers..date.of.CMS.approval.,Reopened.ACA.enrollment.using.a.special.enrollment.period,State.previously.allowed.audio.only.telehealth,Allow.audio.only.telehealth,Allow.expand.Medicaid.telehealth.coverage,State.had.CHIP.premium.non.payment.lock.out.period.as.of.January.2019,Supend.CHIP.premium.non.payment.lock.outs,Suspended.elective.medical.dental.procedures,Made.Effort.to.Limit.Abortion.Access,Use.of.telemedicine.for.schedule.II.V.prescriptions,Exceptions.to.emergency.oral.prescriptions,Paid.sick.leave,Medicaid.Expansion,Population.density.per.square.miles,Population.2018,Square.Miles,Number.Homeless..2019.,Percent.Unemployed..2018.,Percent.living.under.the.federal.poverty.line..2018.,Percent.at.risk.for.serious.illness.due.to.COVID,All.cause.deaths.2018,Mental.health.professionals.per.100.000.population.in.2019,party,voteshare,z.mask,mask_percent
10,Georgia,13.0,110.8212468,1436.0585365853658,[nan 'US-GA'],-15.782122905027933,-2.2960893854748603,26.51396648044693,-31.201117318435752,-29.41899441340782,9.77094972067039,-37.648648648648646,-30.626666666666665,58329.75151515152,1755.4545454545455,64170.59146341463,553783.1933333334,1748.132075471698,1924.2064516129033,1413.9817073170732,10598.524390243903,570679.6097560975,570679.6097560975,12012.506097560976,570679.6097560975,27.884146341463413,133.03658536585365,0.0,0.0,0.0,0.0,0.0,GA,GA,13.0,1,1,1,0.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,365.0,965.0,14.0,27.0,1,1,1,1.0,1,1,0.0,1,1,0.0,0.0,1,0.0,1,1,0.0,0.0,177.02,10519475.0,59425.0,10443.0,4.799999999999982,14.300000000000034,36.199999999999875,85202.0,137.29999999999953,1,0.5077132605477076,2.290000000000008,45.0
11,Hawaii,15.0,28.23529088,11.707317073170731,[nan 'US-HI'],-33.910614525139664,-17.737430167597765,-37.18994413407821,-51.31843575418994,-31.793296089385475,12.972067039106145,-54.554054054054056,-43.17333333333333,869.6086956521739,14.75776397515528,883.8757763975156,58137.566666666666,69.3125,17.74264705882353,26.77639751552795,927.360248447205,55049.31055900621,55049.31055900621,954.1366459627329,55049.31055900621,0.2484472049689441,1.6583850931677018,0.0,0.0,0.0,0.0,0.0,HI,HI,15.0,1,1,1,0.0,0.0,1,1,1,1,1,1,1.0,1.0,0.0,1,0.0,1.0,0.0,0.0,1.0,0.0,648.0,1248.0,26.0,39.0,1,1,1,1.0,1,1,0.0,1,1,0.0,0.0,1,0.0,1,1,0.0,1.0,129.9399999999996,1420491.0,10932.0,6412.0,3.799999999999989,8.79999999999997,39.10000000000015,11415.0,250.5,0,0.29439707172625695,5.269999999999987,58.0
12,Idaho,16.0,109.3259442,61.546341463414635,[nan 'US-ID'],-6.290502793296089,9.491620111731844,127.63354037267081,1.3966480446927374,-24.58100558659218,5.675977653631285,-28.635135135135137,-23.96,6255.551948051948,82.98051948051948,5947.341614906833,60088.25465838509,79.55633802816901,86.86986301369863,165.40993788819875,1189.832298136646,66035.59627329193,66035.59627329193,1355.2422360248447,66035.59627329193,1.5590062111801242,6.633540372670807,0.0,0.0,0.0,0.0,0.0,ID,ID,16.0,1,1,1,0.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,1,0.0,1.0,1.0,1.0,0.0,0.0,448.0,1048.0,20.0,33.0,1,1,1,1.0,1,1,0.0,1,1,0.0,0.0,1,0.0,1,1,0.0,1.0,20.98999999999989,1754208.0,83569.0,2315.0,4.0,11.8,36.199999999999875,14261.0,208.80000000000032,1,0.592614323691972,-5.039999999999987,31.0
13,Illinois,17.0,111.181864,3307.360975609756,[nan 'US-IL'],-21.379888268156424,-1.8268156424581006,46.29608938547486,-31.324022346368714,-31.22905027932961,10.70949720670391,-47.891891891891895,-37.92,74732.39408866996,3377.729064039409,93492.60365853658,927448.743902439,2798.6846153846154,4579.609271523179,1244.0182926829268,18795.932926829268,1020946.1768292683,1020941.3475609756,20039.951219512193,1020941.3475609756,48.36585365853659,0.0,0.0,0.0,0.0,0.0,0.0,IL,IL,17.0,1,1,1,0.0,1.0,1,1,1,1,1,1,0.0,0.0,1.0,1,0.0,1.0,1.0,0.0,1.0,0.0,484.0,1084.0,26.0,39.0,1,1,1,1.0,1,1,0.0,1,1,0.0,0.0,1,0.0,1,1,0.0,1.0,220.0,12741080.0,57914.0,10199.0,5.5,12.099999999999953,36.199999999999875,110022.0,228.80000000000055,0,0.3876175307382538,0.08999999999999989,43.0
14,Indiana,18.0,113.9429386,1300.0341463414634,[nan 'US-IN'],-10.703910614525139,1.7932960893854748,102.48603351955308,-4.279329608938547,-26.044692737430168,8.044692737430168,-40.25675675675676,-32.0,31721.416149068322,1667.9813664596272,31287.234567901236,274458.5189873418,984.625,1751.064935064935,485.37654320987656,4986.771604938272,298969.0,298969.0,5472.148148148148,298969.0,19.21604938271605,60.5,0.0,0.0,0.0,0.0,0.0,IN,IN,18.0,1,1,1,0.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,1,0.0,1.0,1.0,0.0,1.0,0.0,390.0,990.0,26.0,39.0,1,1,1,0.0,1,1,0.0,1,1,1.0,0.0,1,1.0,1,1,0.0,1.0,183.74000000000032,6691878.0,36420.0,5471.0,4.399999999999985,13.099999999999952,39.89999999999985,65693.0,160.0,1,0.5694003344841142,-6.070000000000007,36.0
15,Iowa,19.0,116.3556481,333.44878048780487,[nan 'US-IA'],-13.452513966480447,13.145251396648044,129.16201117318437,-4.4860335195530725,-23.35754189944134,7.335195530726257,-31.824324324324323,-29.48,19079.14465408805,430.76100628930817,18959.938271604937,166326.01234567902,234.02797202797203,483.8181818181818,314.39506172839504,3020.3086419753085,185286.5987654321,185285.95061728396,3334.703703703704,185285.95061728396,5.962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,IA,IA,19.0,1,1,1,0.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,481.0,1081.0,26.0,39.0,1,1,1,0.0,1,1,0.0,1,1,0.0,1.0,1,1.0,1,1,0.0,1.0,56.09000000000011,3156145.0,56273.0,2315.0,3.6000000000000134,11.200000000000008,36.899999999999864,30367.0,155.7000000000005,1,0.5116206134467759,-8.319999999999988,29.0
16,Kansas,20.0,113.7102264,146.41951219512194,[nan 'US-KS'],-12.497206703910615,-0.05027932960893855,97.24022346368714,-1.6312849162011174,-25.11173184357542,7.5195530726256985,-27.16216216216216,-25.64,10729.5125,187.5125,10652.166666666666,103180.74691358025,313.04761904761904,191.6883116883117,209.16666666666666,1908.358024691358,113833.05555555556,113832.91358024691,2117.5246913580245,113832.91358024691,2.4814814814814814,12.469135802469136,0.0,0.0,0.0,0.0,0.0,KS,KS,20.0,1,1,1,1.0,0.0,1,1,1,1,1,1,0.0,0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,1.0,488.0,1088.0,16.0,29.0,1,1,1,0.0,1,1,0.0,1,1,1.0,1.0,1,0.0,1,1,0.0,0.0,35.39000000000012,2911505.0,82278.0,2381.0,3.799999999999989,12.0,38.0,27537.0,196.69999999999985,0,0.5665458180583979,-6.009999999999992,32.0
17,Kentucky,21.0,107.3250336,291.3414634146341,[nan 'US-KY'],-13.29050279329609,4.675977653631285,74.08379888268156,-11.446927374301676,-26.670391061452513,7.994413407821229,-42.12162162162162,-35.626666666666665,11513.875776397515,382.6770186335404,11362.74074074074,219575.0061728395,445.81889763779526,390.90909090909093,236.40740740740742,4088.5,230937.76543209876,230937.74691358025,4324.907407407408,230937.74691358025,4.962962962962963,25.666666666666668,0.0,0.0,0.0,0.0,0.0,KY,KY,21.0,1,1,1,0.0,0.0,1,1,1,1,1,1,0.0,0.0,1.0,1,0.0,1.0,1.0,1.0,0.0,0.0,552.0,1152.0,26.0,39.0,1,1,1,1.0,1,1,0.0,1,1,0.0,0.0,1,1.0,1,1,0.0,1.0,110.58000000000044,4468402.0,40408.0,4079.0,5.20000000000002,16.90000000000006,43.60000000000017,48707.0,227.5,1,0.6251963855190031,-7.75,32.0
18,Louisiana,22.0,117.8857119,1777.7170731707317,[nan 'US-LA'],-16.368715083798882,0.4245810055865922,-1.005586592178771,-21.363128491620113,-26.491620111731844,8.893854748603353,-43.82432432432432,-34.42666666666667,47524.43670886076,2307.0,47408.16149068323,457314.35,1211.1944444444443,2406.875816993464,849.2981366459627,9318.478260869566,501882.049689441,501882.049689441,10167.776397515529,501882.049689441,27.51552795031056,0.0,0.0,0.0,0.0,0.0,0.0,LA,LA,22.0,1,1,1,0.0,1.0,1,1,1,1,1,1,0.0,0.0,1.0,1,0.0,1.0,1.0,0.0,1.0,0.0,247.0,847.0,26.0,39.0,1,1,1,1.0,1,1,0.0,1,1,1.0,1.0,1,1.0,1,1,0.0,1.0,88.96999999999986,4659978.0,52378.0,2941.0,6.4000000000000075,18.599999999999937,42.10000000000016,46048.0,264.59999999999906,0,0.58088684653569,-2.990000000000007,39.0
19,Maine,23.0,51.86591787,54.65853658536585,[nan 'US-ME'],-11.687150837988828,2.7039106145251397,119.9608938547486,-11.972067039106145,-25.910614525139664,7.804469273743017,-41.527027027027025,-38.266666666666666,2096.0387096774193,72.3225806451613,2043.5465838509317,61372.46583850931,29.548387096774192,80.39716312056737,25.559006211180126,1247.9937888198758,63416.51552795031,63416.01242236025,1273.552795031056,63416.01242236025,0.782608695652174,2.4782608695652173,0.0,0.0,0.0,0.0,0.0,ME,ME,23.0,1,1,1,0.0,1.0,1,1,1,1,1,1,0.0,0.0,1.0,1,0.0,1.0,1.0,0.0,0.0,0.0,445.0,1045.0,26.0,39.0,1,1,1,1.0,1,1,0.0,1,1,1.0,1.0,1,0.0,1,1,0.0,1.0,37.82999999999994,1338404.0,35380.0,2106.0,3.5,11.599999999999955,42.5,14715.0,474.6000000000012,0,0.4347667808449905,-2.2799999999999883,38.0
